# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 111.2 kts
# Approach VREF: 85.5 kts
# Generated: 2025-11-06 13:59:24
# Original Data Points: 1734
# Sampled Data Points (5-sec intervals): 1734
# Time Range: 0 - 9965 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
970,4,29624,62.0,287,180,1083,1406,808,9511,2932,1014,0.485,6.3,,
975,4,29714,62.4,287,180,1077,1402,808,9509,2931,1011,0.486,6.3,,
980,4,29804,62.8,287,180,1070,1397,807,9508,2929,1007,0.487,6.2,,
985,4,29893,63.2,288,180,1064,1393,807,9506,2928,1004,0.488,6.2,,
990,4,29981,63.6,288,180,1058,1388,807,9505,2926,1001,0.489,6.1,,
995,4,30069,64.0,289,180,1052,1384,807,9504,2925,998,0.49,6.1,,
1000,4,30156,64.4,289,180,1046,1379,807,9502,2924,994,0.491,6.0,,
1005,4,30243,64.8,290,180,1040,1375,807,9501,2922,991,0.492,6.0,,
1010,4,30329,65.2,290,180,1034,1371,806,9500,2921,988,0.493,5.9,,
1015,4,30415,65.6,290,180,1028,1366,806,9498,2920,985,0.494,5.9,,
1020,4,30501,66.0,291,180,1022,1362,806,9497,2918,982,0.495,5.9,,
1025,4,30586,66.4,291,180,1016,1358,806,9495,2917,979,0.496,5.8,,
1030,4,30670,66.8,292,180,1010,1354,806,9494,2915,976,0.497,5.8,,
1035,4,30754,67.2,292,180,1005,1349,806,9493,2914,973,0.497,5.7,,
1040,4,30837,67.6,293,180,999,1345,805,9491,2913,970,0.498,5.7,,
1045,4,30920,68.0,293,180,993,1341,805,9490,2911,967,0.499,5.7,,
1050,4,31003,68.4,293,180,987,1337,805,9489,2910,964,0.5,5.6,,
1055,4,31085,68.8,294,180,981,1333,805,9487,2909,961,0.501,5.6,,
1060,4,31166,69.2,294,180,976,1329,805,9486,2907,958,0.502,5.5,,
1065,4,31247,69.6,295,180,970,1325,805,9485,2906,955,0.503,5.5,,
1070,4,31328,70.1,295,180,964,1321,804,9483,2905,952,0.504,5.5,,
1075,4,31408,70.5,296,180,959,1317,804,9482,2903,949,0.505,5.4,,
1080,4,31487,70.9,296,180,953,1313,804,9481,2902,946,0.505,5.4,,
1085,4,31567,71.3,296,180,948,1309,804,9479,2901,943,0.506,5.3,,
1090,4,31645,71.7,297,180,942,1305,804,9478,2900,941,0.507,5.3,,
1095,4,31723,72.1,297,180,937,1301,803,9477,2898,938,0.508,5.3,,
1100,4,31801,72.5,298,180,931,1297,803,9476,2897,935,0.509,5.2,,
1105,4,31879,72.9,298,180,926,1293,803,9474,2896,932,0.51,5.2,,
1110,5,31955,73.3,298,180,921,1290,802,9473,2894,930,0.51,5.2,,
1115,5,32032,73.8,298,179,918,1286,800,9472,2893,927,0.51,5.1,,
1120,5,32108,74.2,298,179,915,1283,798,9470,2892,924,0.51,5.1,,
1125,5,32184,74.6,298,179,912,1279,796,9469,2890,922,0.51,5.1,,
1130,5,32260,75.0,298,179,909,1276,794,9468,2889,919,0.51,5.1,,
1135,5,32336,75.4,297,178,906,1272,792,9467,2888,917,0.51,5.1,,
1140,5,32411,75.8,297,178,903,1269,790,9465,2887,914,0.51,5.1,,
1145,5,32486,76.2,297,178,900,1265,788,9464,2885,912,0.51,5.0,,
1150,5,32561,76.7,297,177,897,1262,786,9463,2884,909,0.51,5.0,,
1155,5,32636,77.1,297,177,894,1258,784,9462,2883,907,0.51,5.0,,
1160,5,32710,77.5,297,177,891,1255,782,9460,2882,904,0.51,5.0,,
1165,5,32784,77.9,297,176,888,1251,780,9459,2880,902,0.51,5.0,,
1170,5,32858,78.3,297,176,885,1248,778,9458,2879,899,0.51,5.0,,
1175,5,32932,78.7,297,176,882,1244,776,9457,2878,897,0.51,5.0,,
1180,5,33005,79.1,297,176,878,1241,774,9455,2877,895,0.51,4.9,,
1185,5,33078,79.5,297,175,875,1238,773,9454,2875,892,0.51,4.9,,
1190,5,33151,80.0,296,175,872,1234,771,9453,2874,890,0.51,4.9,,
1195,5,33223,80.4,296,175,869,1231,769,9452,2873,887,0.51,4.9,,
1200,5,33296,80.8,296,174,866,1228,767,9450,2872,885,0.51,4.9,,
1205,5,33368,81.2,296,174,863,1224,765,9449,2870,882,0.51,4.9,,
1210,5,33439,81.6,296,174,860,1221,764,9448,2869,880,0.51,4.8,,
1215,5,33511,82.0,296,173,857,1218,762,9447,2868,878,0.51,4.8,,
1220,5,33582,82.4,296,173,854,1214,760,9445,2867,875,0.51,4.8,,
1225,5,33653,82.8,296,173,851,1211,758,9444,2866,873,0.51,4.8,,
1230,5,33724,83.2,296,173,848,1208,757,9443,2864,871,0.51,4.8,,
1235,5,33794,83.7,296,172,845,1204,755,9442,2863,868,0.51,4.8,,
1240,5,33865,84.1,295,172,842,1201,753,9441,2862,866,0.51,4.8,,
1245,5,33935,84.5,295,172,839,1198,751,9439,2861,863,0.51,4.7,,
1250,5,34004,84.9,295,172,836,1195,750,9438,2860,861,0.51,4.7,,
1255,5,34074,85.3,295,171,833,1192,748,9437,2858,859,0.51,4.7,,
1260,5,34143,85.7,295,171,829,1188,746,9436,2857,857,0.51,4.7,,
1265,5,34212,86.1,295,171,826,1185,745,9435,2856,854,0.51,4.7,,
1270,5,34281,86.5,295,170,823,1182,743,9433,2855,852,0.51,4.7,,
