aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,ktas,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,20,25000,0.0,109.74133991778417,170.0,0,15,230,False,2200,6785,ok,,1250.0,463.0,1955.0,22904.0,163.90769584656388,110.0,22904.0,True,0.2726452187230744,False,245.0
C208B,Flatwing,0,20,25000,0.0,103.20748879960783,160.0,0,15,230,False,2200,6785,ok,,1182.0,463.0,1955.0,22904.0,155.3844506745654,103.0,22904.0,True,0.2584675925161556,False,245.0
C208B,Flatwing,0,20,25000,0.0,96.68781174938448,150.0,0,15,230,False,2200,6785,ok,,1115.0,463.0,1955.0,22904.0,155.3844506745654,97.0,22904.0,True,0.2584675925161556,False,245.0
C208B,Flatwing,0,20,25000,0.0,90.181452479236,140.0,0,15,230,False,2200,6785,ok,,1048.0,463.0,1955.0,22904.0,155.3844506745654,90.0,22904.0,True,0.2584675925161556,False,245.0
C208B,Flatwing,0,20,25000,0.0,122.85495858175426,190.0,267,15,230,False,2200,7052,ok,,1291.0,446.0,1955.0,20900.0,177.05566017145992,123.0,20900.0,True,0.2920904868264813,False,245.0
C208B,Flatwing,0,20,25000,0.0,116.29021528260554,180.0,267,15,230,False,2200,7052,ok,,1228.0,446.0,1955.0,20900.0,167.70130352500337,116.0,20900.0,True,0.2766585114568938,False,245.0
C208B,Flatwing,0,20,25000,0.0,109.74133991778417,170.0,267,15,230,False,2200,7052,ok,,1164.0,446.0,1955.0,20900.0,158.35212652353948,110.0,20900.0,True,0.2612350809992624,False,245.0
C208B,Flatwing,0,20,25000,0.0,103.20748879960783,160.0,267,15,230,False,2200,7052,ok,,1101.0,446.0,1955.0,20900.0,149.8148081325195,103.0,20900.0,True,0.24715098178091013,False,245.0
C208B,Flatwing,0,20,25000,0.0,96.68781174938448,150.0,267,15,230,False,2200,7052,ok,,1038.0,446.0,1955.0,20900.0,149.8148081325195,97.0,20900.0,True,0.24715098178091013,False,245.0
C208B,Flatwing,0,20,25000,0.0,90.181452479236,140.0,267,15,230,False,2200,7052,ok,,975.0,446.0,1955.0,20900.0,149.8148081325195,90.0,20900.0,True,0.24715098178091013,False,245.0
C208B,Flatwing,0,20,25000,0.0,122.85495858175426,190.0,533,15,230,False,2200,7318,ok,,1289.0,446.0,1955.0,20902.0,177.05959081892206,123.0,20902.0,True,0.2920989517275261,False,245.0
C208B,Flatwing,0,20,25000,0.0,116.29021528260554,180.0,533,15,230,False,2200,7318,ok,,1226.0,446.0,1955.0,20902.0,167.715194954158,116.0,20902.0,True,0.27668330423844967,False,245.0
C208B,Flatwing,0,20,25000,0.0,109.74133991778417,170.0,533,15,230,False,2200,7318,ok,,1163.0,446.0,1955.0,20902.0,158.35660840358938,110.0,20902.0,True,0.26124424607487307,False,245.0
C208B,Flatwing,0,20,25000,0.0,103.20748879960783,160.0,533,15,230,False,2200,7318,ok,,1100.0,446.0,1955.0,20902.0,149.82130669629538,103.0,20902.0,True,0.2471633783294569,False,245.0
C208B,Flatwing,0,20,25000,0.0,96.68781174938448,150.0,533,15,230,False,2200,7318,ok,,1037.0,446.0,1955.0,20902.0,149.82130669629538,97.0,20902.0,True,0.2471633783294569,False,245.0
C208B,Flatwing,0,20,25000,0.0,90.181452479236,140.0,533,15,230,False,2200,7318,ok,,975.0,446.0,1955.0,20902.0,149.82130669629538,90.0,20902.0,True,0.2471633783294569,False,245.0
C208B,Flatwing,0,20,25000,0.0,122.85495858175426,190.0,800,15,230,False,2200,7585,ok,,1203.0,430.0,1955.0,18900.0,171.18580834763353,123.0,18900.0,True,0.2801237173899792,False,245.0
C208B,Flatwing,0,20,25000,0.0,116.29021528260554,180.0,800,15,230,False,2200,7585,ok,,1143.0,430.0,1955.0,18900.0,162.12961847986978,116.0,18900.0,True,0.2653044190168585,False,245.0
C208B,Flatwing,0,20,25000,0.0,109.74133991778417,170.0,800,15,230,False,2200,7585,ok,,1084.0,429.0,1955.0,18900.0,153.07197563888542,110.0,18900.0,True,0.25048274303858603,False,245.0
C208B,Flatwing,0,20,25000,0.0,103.20748879960783,160.0,800,15,230,False,2200,7585,ok,,1026.0,430.0,1955.0,18900.0,144.52341894737967,103.0,18900.0,True,0.23649412154094027,False,245.0
C208B,Flatwing,0,20,25000,0.0,96.68781174938448,150.0,800,15,230,False,2200,7585,ok,,967.0,430.0,1955.0,18900.0,144.52341894737967,97.0,18900.0,True,0.23649412154094027,False,245.0
C208B,Flatwing,0,20,25000,0.0,90.181452479236,140.0,800,15,230,False,2200,7585,ok,,908.0,430.0,1955.0,18900.0,144.52341894737967,90.0,18900.0,True,0.23649412154094027,False,245.0
C208B,Flatwing,0,20,25000,0.0,122.85495858175426,190.0,1067,15,230,False,2200,7852,ok,,1201.0,429.0,1955.0,18900.0,171.178013325729,123.0,18900.0,True,0.2801100380754949,False,245.0
C208B,Flatwing,0,20,25000,0.0,116.29021528260554,180.0,1067,15,230,False,2200,7852,ok,,1142.0,429.0,1955.0,18900.0,162.13397552882734,116.0,18900.0,True,0.26531067382054374,False,245.0
C208B,Flatwing,0,20,25000,0.0,109.74133991778417,170.0,1067,15,230,False,2200,7852,ok,,1083.0,429.0,1955.0,18900.0,153.06986519113664,110.0,18900.0,True,0.25047846352388753,False,245.0
C208B,Flatwing,0,20,25000,0.0,103.20748879960783,160.0,1067,15,230,False,2200,7852,ok,,1024.0,429.0,1955.0,18900.0,144.52314655634052,103.0,18900.0,True,0.23649289589343622,False,245.0
C208B,Flatwing,0,20,25000,0.0,96.68781174938448,150.0,1067,15,230,False,2200,7852,ok,,966.0,429.0,1955.0,18900.0,144.52314655634052,97.0,18900.0,True,0.23649289589343622,False,245.0
C208B,Flatwing,0,20,25000,0.0,90.181452479236,140.0,1067,15,230,False,2200,7852,ok,,907.0,429.0,1955.0,18900.0,144.52314655634052,90.0,18900.0,True,0.23649289589343622,False,245.0
C208B,Flatwing,0,20,25000,0.0,122.85495858175426,190.0,1333,15,230,False,2200,8118,ok,,1122.0,414.0,1955.0,16904.0,165.59646461243403,123.0,16904.0,True,0.26882593515884484,False,245.0
C208B,Flatwing,0,20,25000,0.0,116.29021528260554,180.0,1333,15,230,False,2200,8118,ok,,1066.0,414.0,1955.0,16904.0,156.83403959384927,116.0,16904.0,True,0.25460119246646107,False,245.0
C208B,Flatwing,0,20,25000,0.0,109.74133991778417,170.0,1333,15,230,False,2200,8118,ok,,1011.0,414.0,1955.0,16904.0,148.0504055511872,110.0,16904.0,True,0.24034201947543093,False,245.0
C208B,Flatwing,0,20,25000,0.0,103.20748879960783,160.0,1333,15,230,False,2200,8118,ok,,956.0,414.0,1955.0,16904.0,139.49118950821315,103.0,16904.0,True,0.2264471621041443,False,245.0
C208B,Flatwing,0,20,25000,0.0,96.68781174938448,150.0,1333,15,230,False,2200,8118,ok,,901.0,414.0,1955.0,16904.0,139.49118950821315,97.0,16904.0,True,0.2264471621041443,False,245.0
C208B,Flatwing,0,20,25000,0.0,90.181452479236,140.0,1333,15,230,False,2200,8118,ok,,846.0,414.0,1955.0,16904.0,139.49118950821315,90.0,16904.0,True,0.2264471621041443,False,245.0
C208B,Flatwing,0,20,25000,0.0,122.85495858175426,190.0,1600,15,230,False,2200,8385,ok,,1120.0,414.0,1955.0,16902.0,165.58651483081,123.0,16902.0,True,0.2688066267320005,False,245.0
C208B,Flatwing,0,20,25000,0.0,116.29021528260554,180.0,1600,15,230,False,2200,8385,ok,,1065.0,414.0,1955.0,16902.0,156.81109159606274,116.0,16902.0,True,0.2545609502631875,False,245.0
C208B,Flatwing,0,20,25000,0.0,109.74133991778417,170.0,1600,15,230,False,2200,8385,ok,,1010.0,414.0,1955.0,16902.0,148.04312686276037,110.0,16902.0,True,0.24032738163187514,False,245.0
C208B,Flatwing,0,20,25000,0.0,103.20748879960783,160.0,1600,15,230,False,2200,8385,ok,,955.0,414.0,1955.0,16902.0,139.48558310625756,103.0,16902.0,True,0.22643540212709845,False,245.0
C208B,Flatwing,0,20,25000,0.0,96.68781174938448,150.0,1600,15,230,False,2200,8385,ok,,900.0,414.0,1955.0,16902.0,139.48558310625756,97.0,16902.0,True,0.22643540212709845,False,245.0
C208B,Flatwing,0,20,25000,0.0,90.181452479236,140.0,1600,15,230,False,2200,8385,ok,,846.0,414.0,1955.0,16902.0,139.48558310625756,90.0,16902.0,True,0.22643540212709845,False,245.0
C208B,Flatwing,0,20,25000,0.0,122.85495858175426,190.0,1867,15,230,False,2200,8652,ok,,1047.0,399.0,1955.0,14906.0,160.25424185205222,123.0,14906.0,True,0.2581179174849896,False,245.0
C208B,Flatwing,0,20,25000,0.0,116.29021528260554,180.0,1867,15,230,False,2200,8652,ok,,995.0,399.0,1955.0,14906.0,151.75891475528292,116.0,14906.0,True,0.24443468443462016,False,245.0
C208B,Flatwing,0,20,25000,0.0,109.74133991778417,170.0,1867,15,230,False,2200,8652,ok,,943.0,399.0,1955.0,14906.0,143.25651261003577,110.0,14906.0,True,0.23074005576215612,False,245.0
C208B,Flatwing,0,20,25000,0.0,103.20748879960783,160.0,1867,15,230,False,2200,8652,ok,,892.0,399.0,1955.0,14906.0,134.7767538371729,103.0,14906.0,True,0.2170818982623557,False,245.0
